NBI,area
16.37, 02001
1.52, 02002
11.77, 02003
14.57, 02004
6.59, 02005
2.65, 02006
8.550000000000001, 02007
11.39, 02008
4.66, 02009
4.26, 02010
2.53, 02011
1.81, 02012
2.12, 02013
2.32, 02014
4.18, 02015
10.55, 06028
5.71, 06035
11.56, 06091
10.72, 06260
13.6, 06270
17.08, 06274
7.14, 06371
6.06, 06408
4.92, 06410
12.15, 06412
11.16, 06427
5.03, 06434
9.59, 06490
11.91, 06515
11.93, 06539
12.73, 06560
3.58, 06568
10.23, 06658
9.199999999999999, 06749
3.64, 06756
8.699999999999999, 06760
10.79, 06805
4.61, 06840
2.95, 06861
3.42, 06007
2.93, 06014
2.17, 06021
4.25, 06042
3.49, 06049
3.97, 06056
6.56, 06063
5.92, 06070
4.5, 06077
3.3, 06084
10.35, 06098
3.5, 06105
3.81, 06112
8.539999999999999, 06119
9.06, 06126
10.32, 06134
6.34, 06140
4.22, 06147
3.9, 06154
5.4, 06161
4.56, 06168
3.94, 06175
3.13, 06182
2.76, 06189
3.9, 06196
2.42, 06203
4.21, 06210
4.34, 06217
3.89, 06224
4.16, 06231
3.63, 06238
11.75, 06245
12.64, 06252
8.539999999999999, 06266
4.29, 06277
6.39, 06280
4.23, 06287
2.76, 06294
3.66, 06301
3.88, 06308
7.61, 06315
3.36, 06322
6.96, 06329
7.82, 06336
5, 06343
3.63, 06351
4.44, 06357
13.62, 06364
3.15, 06385
6.08, 06392
2.01, 06399
3.03, 06406
4.51, 06413
5.81, 06420
8.92, 06441
3.54, 06448
4.42, 06455
4.48, 06462
3.36, 06469
4.12, 06476
4.66, 06483
7.04, 06497
7.93, 06505
5.02, 06511
5.19, 06518
12.3, 06525
4.23, 06532
5.83, 06547
5.19, 06553
5.51, 06574
3.54, 06581
3.74, 06588
3.39, 06595
9.56, 06602
4.44, 06609
3.48, 06616
3.27, 06623
4.44, 06630
13.3, 06638
8.140000000000001, 06644
18.36, 06648
1.06, 06651
6.39, 06655
6.23, 06665
2.82, 06672
5.33, 06679
3.67, 06686
4.96, 06693
1.19, 06700
3.36, 06707
5.23, 06714
1.8, 06721
5.74, 06728
3.98, 06735
2.67, 06742
6.13, 06763
7.76, 06770
15.54, 06778
4.65, 06784
4.13, 06791
3.04, 06798
7.89, 06812
3.31, 06819
3.49, 06826
3.48, 06833
3.66, 06847
4.17, 06854
8.369999999999999, 06868
13.26, 06875
9.289999999999999, 06882
